file,length,dtype
Statistik_BOBY_BO_BO011.json,140,mixed
Statistik_KO_KO007.json,3731,mixed
Statistik_NA_Konsumtion_NA027.json,847,mixed
Statistik_SO_SO002.json,1700,int
Statistik_BE_Befolkningens storlek och struktur_BE008.json,47736,int
Statistik_FOHA_HA_Avslutade_HA023.json,91,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF015.json,408,int
Statistik_SO_SO014.json,5508,int
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT058.json,1755,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF003.json,2856,int
Statistik_AR_Arbetslöshet_AR019.json,135,mixed
Statistik_BOBY_BO_BO007.json,315,mixed
Statistik_AR_Avslutade_AR007b.json,83538,int
Statistik_NA_Konsumtion_NA031.json,55,mixed
Statistik_BE_Befolkningens storlek och struktur_BE032.json,4250,int
Statistik_FOHA_HA_Avslutade_HA019.json,104,int
Statistik_TUTRSJ_TR_TR015.json,600,mixed
Statistik_TUTRSJ_TU_Inkvartering_TU008.json,3900,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_OUTMIGDEM.json,12528,int
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT074.json,312,int
Statistik_UTKU_UT_Grundskolan_UT006.json,3375,mixed
Statistik_INLO_IN_Avslutade_IN001gammal.json,31212,int
Statistik_VA_VA006.json,6120,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_AR_LABOUTFED.json,4320,mixed
Statistik_VA_VA010.json,1536,int
Statistik_KO_Avslutade_KO005.json,1352,mixed
Statistik_AR_Sysselsättning_AR012.json,1836,int
Statistik_TUTRSJ_TR_TR003.json,294,int
Statistik_MI_MI001.json,4641,mixed
Statistik_FOHA_HA_HA031.json,126,int
Statistik_UTKU_KU_KU002.json,3520,mixed
Statistik_AR_Arbetslöshet_AR003.json,17303,int
Statistik_UTKU_UT_Barnomsorg_UT011.json,768,mixed
Statistik_AR_Arbetsplatser_AR018.json,1326,int
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT042.json,900,int
Statistik_UTKU_UT_Utb efter grundskolan_Övrig utbildning_UT043.json,3520,mixed
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF019.json,408,int
Statistik_BE_Befolkningens storlek och struktur_BE004.json,1037,int
Statistik_MI_MI007c.json,296,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT054.json,300,int
Statistik_INLO_LO_Avslutade_LO010.json,552,int
Statistik_NA_Socialräkenskapsmatriser_SAM2007_det.json,3721,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Övrig utbildning_UT055.json,1500,int
Statistik_BE_Prognoser_BEFOLD_BE047.json,2040,int
Statistik_SO_SO018.json,16,int
Statistik_INLO_IN_IN010.json,21840,int
Statistik_OF_1. Kommunernas och kommunalförbundens rapporterade ekonomiuppgifter_1.5 Nyckeltal_OF023.json,408,int
Utredning_Äldre utredningar eller scenarier_Scenarier2013_BE_EXAMSFED.json,4032,mixed
Statistik_UTKU_UT_Utb efter grundskolan_Högskolan vid Åland_UT078.json,4368,int
Statistik_FOHA_HA_Avslutade_HA015.json,150,int
Statistik_FOHA_FO_Koncerner_FO020.json,378,int
Statistik_JO_JO002.json,450,int
